CaseId,Evaluation
200001,0.3141516
200002,0.3141516
200003,0.3141516
200004,0.3141516
200005,0.3141516
200006,0.3141516
200007,0.3141516
200008,0.3141516
200009,0.3141516
200010,0.3141516
200011,0.3141516
200012,0.3141516
200013,0.3141516
200014,0.3141516
200015,0.3141516
200016,0.3141516
200017,0.3141516
200018,0.3141516
200019,0.3141516
200020,0.3141516
200021,0.3141516
200022,0.3141516
200023,0.3141516
200024,0.3141516
200025,0.3141516
200026,0.3141516
200027,0.3141516
200028,0.3141516
200029,0.3141516
200030,0.3141516
200031,0.3141516
200032,0.3141516
200033,0.3141516
200034,0.3141516
200035,0.3141516
200036,0.3141516
200037,0.3141516
200038,0.3141516
200039,0.3141516
200040,0.3141516
200041,0.3141516
200042,0.3141516
200043,0.3141516
200044,0.3141516
200045,0.3141516
200046,0.3141516
200047,0.3141516
200048,0.3141516
200049,0.3141516
200050,0.3141516
200051,0.3141516
200052,0.3141516
200053,0.3141516
200054,0.3141516
200055,0.3141516
200056,0.3141516
200057,0.3141516
200058,0.3141516
200059,0.3141516
200060,0.3141516
200061,0.3141516
200062,0.3141516
200063,0.3141516
200064,0.3141516
200065,0.3141516
200066,0.3141516
200067,0.3141516
200068,0.3141516
200069,0.3141516
200070,0.3141516
200071,0.3141516
200072,0.3141516
200073,0.3141516
200074,0.3141516
200075,0.3141516
200076,0.3141516
200077,0.3141516
200078,0.3141516
200079,0.3141516
200080,0.3141516
200081,0.3141516
200082,0.3141516
200083,0.3141516
200084,0.3141516
200085,0.3141516
200086,0.3141516
200087,0.3141516
200088,0.3141516
200089,0.3141516
200090,0.3141516
200091,0.3141516
200092,0.3141516
200093,0.3141516
200094,0.3141516
200095,0.3141516
200096,0.3141516
200097,0.3141516
200098,0.3141516
200099,0.3141516
200100,0.3141516
200101,0.3141516
200102,0.3141516
200103,0.3141516
200104,0.3141516
200105,0.3141516
200106,0.3141516
200107,0.3141516
200108,0.3141516
200109,0.3141516
200110,0.3141516
200111,0.3141516
200112,0.3141516
200113,0.3141516
200114,0.3141516
200115,0.3141516
200116,0.3141516
200117,0.3141516
200118,0.3141516
200119,0.3141516
200120,0.3141516
200121,0.3141516
200122,0.3141516
200123,0.3141516
200124,0.3141516
200125,0.3141516
200126,0.3141516
200127,0.3141516
200128,0.3141516
200129,0.3141516
200130,0.3141516
200131,0.3141516
200132,0.3141516
200133,0.3141516
200134,0.3141516
200135,0.3141516
200136,0.3141516
200137,0.3141516
200138,0.3141516
200139,0.3141516
200140,0.3141516
200141,0.3141516
200142,0.3141516
200143,0.3141516
200144,0.3141516
200145,0.3141516
200146,0.3141516
200147,0.3141516
200148,0.3141516
200149,0.3141516
200150,0.3141516
200151,0.3141516
200152,0.3141516
200153,0.3141516
200154,0.3141516
200155,0.3141516
200156,0.3141516
200157,0.3141516
200158,0.3141516
200159,0.3141516
200160,0.3141516
200161,0.3141516
200162,0.3141516
200163,0.3141516
200164,0.3141516
200165,0.3141516
200166,0.3141516
200167,0.3141516
200168,0.3141516
200169,0.3141516
200170,0.3141516
200171,0.3141516
200172,0.3141516
200173,0.3141516
200174,0.3141516
200175,0.3141516
200176,0.3141516
200177,0.3141516
200178,0.3141516
200179,0.3141516
200180,0.3141516
200181,0.3141516
200182,0.3141516
200183,0.3141516
200184,0.3141516
200185,0.3141516
200186,0.3141516
200187,0.3141516
200188,0.3141516
200189,0.3141516
200190,0.3141516
200191,0.3141516
200192,0.3141516
200193,0.3141516
200194,0.3141516
200195,0.3141516
200196,0.3141516
200197,0.3141516
200198,0.3141516
200199,0.3141516
200200,0.3141516
200201,0.3141516
200202,0.3141516
200203,0.3141516
200204,0.3141516
200205,0.3141516
200206,0.3141516
200207,0.3141516
200208,0.3141516
200209,0.3141516
200210,0.3141516
200211,0.3141516
200212,0.3141516
200213,0.3141516
200214,0.3141516
200215,0.3141516
200216,0.3141516
200217,0.3141516
200218,0.3141516
200219,0.3141516
200220,0.3141516
200221,0.3141516
200222,0.3141516
200223,0.3141516
200224,0.3141516
200225,0.3141516
200226,0.3141516
200227,0.3141516
200228,0.3141516
200229,0.3141516
200230,0.3141516
200231,0.3141516
200232,0.3141516
200233,0.3141516
200234,0.3141516
200235,0.3141516
200236,0.3141516
200237,0.3141516
200238,0.3141516
200239,0.3141516
200240,0.3141516
200241,0.3141516
200242,0.3141516
200243,0.3141516
200244,0.3141516
200245,0.3141516
200246,0.3141516
200247,0.3141516
200248,0.3141516
200249,0.3141516
200250,0.3141516
200251,0.3141516
200252,0.3141516
200253,0.3141516
200254,0.3141516
200255,0.3141516
200256,0.3141516
200257,0.3141516
200258,0.3141516
200259,0.3141516
200260,0.3141516
200261,0.3141516
200262,0.3141516
200263,0.3141516
200264,0.3141516
200265,0.3141516
200266,0.3141516
200267,0.3141516
200268,0.3141516
200269,0.3141516
200270,0.3141516
200271,0.3141516
200272,0.3141516
200273,0.3141516
200274,0.3141516
200275,0.3141516
200276,0.3141516
200277,0.3141516
200278,0.3141516
200279,0.3141516
200280,0.3141516
200281,0.3141516
200282,0.3141516
200283,0.3141516
200284,0.3141516
200285,0.3141516
200286,0.3141516
200287,0.3141516
200288,0.3141516
200289,0.3141516
200290,0.3141516
200291,0.3141516
200292,0.3141516
200293,0.3141516
200294,0.3141516
200295,0.3141516
200296,0.3141516
200297,0.3141516
200298,0.3141516
200299,0.3141516
200300,0.3141516
200301,0.3141516
200302,0.3141516
200303,0.3141516
200304,0.3141516
200305,0.3141516
200306,0.3141516
200307,0.3141516
200308,0.3141516
200309,0.3141516
200310,0.3141516
200311,0.3141516
200312,0.3141516
200313,0.3141516
200314,0.3141516
200315,0.3141516
200316,0.3141516
200317,0.3141516
200318,0.3141516
200319,0.3141516
200320,0.3141516
200321,0.3141516
200322,0.3141516
200323,0.3141516
200324,0.3141516
200325,0.3141516
200326,0.3141516
200327,0.3141516
200328,0.3141516
200329,0.3141516
200330,0.3141516
200331,0.3141516
200332,0.3141516
200333,0.3141516
200334,0.3141516
200335,0.3141516
200336,0.3141516
200337,0.3141516
200338,0.3141516
200339,0.3141516
200340,0.3141516
200341,0.3141516
200342,0.3141516
200343,0.3141516
200344,0.3141516
200345,0.3141516
200346,0.3141516
200347,0.3141516
200348,0.3141516
200349,0.3141516
200350,0.3141516
200351,0.3141516
200352,0.3141516
200353,0.3141516
200354,0.3141516
200355,0.3141516
200356,0.3141516
200357,0.3141516
200358,0.3141516
200359,0.3141516
200360,0.3141516
200361,0.3141516
200362,0.3141516
200363,0.3141516
200364,0.3141516
200365,0.3141516
200366,0.3141516
200367,0.3141516
200368,0.3141516
200369,0.3141516
200370,0.3141516
200371,0.3141516
200372,0.3141516
200373,0.3141516
200374,0.3141516
200375,0.3141516
200376,0.3141516
200377,0.3141516
200378,0.3141516
200379,0.3141516
200380,0.3141516
200381,0.3141516
200382,0.3141516
200383,0.3141516
200384,0.3141516
200385,0.3141516
200386,0.3141516
200387,0.3141516
200388,0.3141516
200389,0.3141516
200390,0.3141516
200391,0.3141516
200392,0.3141516
200393,0.3141516
200394,0.3141516
200395,0.3141516
200396,0.3141516
200397,0.3141516
200398,0.3141516
200399,0.3141516
200400,0.3141516
200401,0.3141516
200402,0.3141516
200403,0.3141516
200404,0.3141516
200405,0.3141516
200406,0.3141516
200407,0.3141516
200408,0.3141516
200409,0.3141516
200410,0.3141516
200411,0.3141516
200412,0.3141516
200413,0.3141516
200414,0.3141516
200415,0.3141516
200416,0.3141516
200417,0.3141516
200418,0.3141516
200419,0.3141516
200420,0.3141516
200421,0.3141516
200422,0.3141516
200423,0.3141516
200424,0.3141516
200425,0.3141516
200426,0.3141516
200427,0.3141516
200428,0.3141516
200429,0.3141516
200430,0.3141516
200431,0.3141516
200432,0.3141516
200433,0.3141516
200434,0.3141516
200435,0.3141516
200436,0.3141516
200437,0.3141516
200438,0.3141516
200439,0.3141516
200440,0.3141516
200441,0.3141516
200442,0.3141516
200443,0.3141516
200444,0.3141516
200445,0.3141516
200446,0.3141516
200447,0.3141516
200448,0.3141516
200449,0.3141516
200450,0.3141516
200451,0.3141516
200452,0.3141516
200453,0.3141516
200454,0.3141516
200455,0.3141516
200456,0.3141516
200457,0.3141516
200458,0.3141516
200459,0.3141516
200460,0.3141516
200461,0.3141516
200462,0.3141516
200463,0.3141516
200464,0.3141516
200465,0.3141516
200466,0.3141516
200467,0.3141516
200468,0.3141516
200469,0.3141516
200470,0.3141516
200471,0.3141516
200472,0.3141516
200473,0.3141516
200474,0.3141516
200475,0.3141516
200476,0.3141516
200477,0.3141516
200478,0.3141516
200479,0.3141516
200480,0.3141516
200481,0.3141516
200482,0.3141516
200483,0.3141516
200484,0.3141516
200485,0.3141516
200486,0.3141516
200487,0.3141516
200488,0.3141516
200489,0.3141516
200490,0.3141516
200491,0.3141516
200492,0.3141516
200493,0.3141516
200494,0.3141516
200495,0.3141516
200496,0.3141516
200497,0.3141516
200498,0.3141516
200499,0.3141516
200500,0.3141516
200501,0.3141516
200502,0.3141516
200503,0.3141516
200504,0.3141516
200505,0.3141516
200506,0.3141516
200507,0.3141516
200508,0.3141516
200509,0.3141516
200510,0.3141516
200511,0.3141516
200512,0.3141516
200513,0.3141516
200514,0.3141516
200515,0.3141516
200516,0.3141516
200517,0.3141516
200518,0.3141516
200519,0.3141516
200520,0.3141516
200521,0.3141516
200522,0.3141516
200523,0.3141516
200524,0.3141516
200525,0.3141516
200526,0.3141516
200527,0.3141516
200528,0.3141516
200529,0.3141516
200530,0.3141516
200531,0.3141516
200532,0.3141516
200533,0.3141516
200534,0.3141516
200535,0.3141516
200536,0.3141516
200537,0.3141516
200538,0.3141516
200539,0.3141516
200540,0.3141516
200541,0.3141516
200542,0.3141516
200543,0.3141516
200544,0.3141516
200545,0.3141516
200546,0.3141516
200547,0.3141516
200548,0.3141516
200549,0.3141516
200550,0.3141516
200551,0.3141516
200552,0.3141516
200553,0.3141516
200554,0.3141516
200555,0.3141516
200556,0.3141516
200557,0.3141516
200558,0.3141516
200559,0.3141516
200560,0.3141516
200561,0.3141516
200562,0.3141516
200563,0.3141516
200564,0.3141516
200565,0.3141516
200566,0.3141516
200567,0.3141516
200568,0.3141516
200569,0.3141516
200570,0.3141516
200571,0.3141516
200572,0.3141516
200573,0.3141516
200574,0.3141516
200575,0.3141516
200576,0.3141516
200577,0.3141516
200578,0.3141516
200579,0.3141516
200580,0.3141516
200581,0.3141516
200582,0.3141516
200583,0.3141516
200584,0.3141516
200585,0.3141516
200586,0.3141516
200587,0.3141516
200588,0.3141516
200589,0.3141516
200590,0.3141516
200591,0.3141516
200592,0.3141516
200593,0.3141516
