id,y
10441,10
10442,10
10443,10
10444,10
10445,10
10446,10
10447,10
10448,10
10449,10
10450,10
10451,10
10452,10
10453,10
10454,10
10455,10
10456,10
10457,10
10458,10
10459,10
10460,10
10461,10
10462,10
10463,10
10464,10
10465,10
10466,10
10467,10
10468,10
10469,10
10470,10
10471,10
10472,10
10473,10
10474,10
10475,10
10476,10
10477,10
10478,10
10479,10
10480,10
10481,10
10482,10
10483,10
10484,10
10485,10
10486,10
10487,10
10488,10
10489,10
10490,10
10491,10
10492,10
10493,10
10494,10
10495,10
10496,10
10497,10
10498,10
10499,10
10500,10
10501,10
10502,10
10503,10
10504,10
10505,10
10506,10
10507,10
10508,10
10509,10
10510,10
10511,10
10512,10
10513,10
10514,10
10515,10
10516,10
10517,10
10518,10
10519,10
10520,10
10521,10
10522,10
10523,10
10524,10
10525,10
10526,10
10527,10
10528,10
10529,10
10530,10
10531,10
10532,10
10533,10
10534,10
10535,10
10536,10
10537,10
10538,10
10539,10
10540,10
10541,10
10542,10
10543,10
10544,10
10545,10
10546,10
10547,10
10548,10
10549,10
10550,10
10551,10
10552,10
10553,10
10554,10
10555,10
10556,10
10557,10
10558,10
10559,10
10560,10
10561,10
10562,10
10563,10
10564,10
10565,10
10566,10
10567,10
10568,10
10569,10
10570,10
10571,10
10572,10
10573,10
10574,10
10575,10
10576,10
10577,10
10578,10
10579,10
10580,10
10581,10
10582,10
10583,10
10584,10
10585,10
10586,10
10587,10
10588,10
10589,10
10590,10
10591,10
10592,10
10593,10
10594,10
10595,10
10596,10
10597,10
10598,10
10599,10
10600,10
10601,10
10602,10
10603,10
10604,10
10605,10
10606,10
10607,10
10608,10
10609,10
10610,10
10611,10
10612,10
10613,10
10614,10
10615,10
10616,10
10617,10
10618,10
10619,10
10620,10
10621,10
10622,10
10623,10
10624,10
10625,10
10626,10
10627,10
10628,10
10629,10
10630,10
10631,10
10632,10
10633,10
10634,10
10635,10
10636,10
10637,10
10638,10
10639,10
10640,10
10641,10
10642,10
10643,10
